HR,mean_nni,sdnn,sdsd,nni_50,pnni_50,pnni_20,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,total_power,vlf,sd1,ratio_sd2_sd1,Permutation entropy,Spectral entropy,SVD entropy,Approximate entropy,Sample entropy,Hjorth mobility,Hjorth complexity,Number of zero-crossings,Petrosian fractal dimension,Katz fractal dimension,Higuchi fractal dimension,Detrended fluctuation analysis,Seat angle,Temperature,Humidity,mean,min_val,std_dev,range_val,q1,q2,q3,skewness,kurtosis,hrg_value,breath_rate,express_label,Discomfortrating
-1.274456769,1.263538964,0.526216523,1.675539211,0.774272395,0.868298162,0.418743458,1.41883983,0.172502346,1.200952138,0.09641637,-1.177151356,0.866958188,0.046864249,0.468476262,-0.330432895,0.247564571,-0.521239933,-0.26554854,-0.526981243,1.560065503,-1.07601755,-0.631385843,-1.399028935,-0.689518969,0.483544868,0.684398349,-0.651648887,-0.222284623,0.328050603,-0.789152648,1.808199049,-1.153850737,-0.481391027,1.093073895,0.284353908,1.115113167,0.115650917,0.528288011,-0.190349301,-0.523493378,-0.26827106,-0.773850338,0.092904462,0.417301645,-0.455808677,0.28906132,0.329371408,-1.076956854,1
-1.81395075,1.848878485,0.958614562,0.549577588,0.560638074,0.677353262,0.766259627,2.325931136,0.248515287,-0.07163406,0.308971321,-1.58673062,0.427647767,-0.175153404,0.677975387,-0.331583564,-0.496867991,-0.132549343,0.005395727,1.496855147,0.482215975,0.504144611,-2.003453851,-2.171683126,-1.459603775,0.277420632,0.268812175,-1.212484997,-0.717641525,0.286427232,-1.392631596,0.974051218,-1.823156588,-0.416468625,1.093073895,0.284353908,1.115113167,0.084402684,0.206503158,0.149172593,-0.144474144,-0.632032629,-0.865104419,0.72471738,0.179239215,-0.389130354,-0.928099895,0.591278208,-1.076956854,1
-1.556752142,1.362571393,0.602887457,1.250148143,0.293595174,-0.087053971,0.209112738,1.829390778,0.248515287,0.753658991,0.136995583,-1.230121544,0.866958188,-0.037957345,0.651486558,-0.233026108,0.237281652,-0.467308051,-0.197560337,-0.499835805,1.152840127,-0.630370193,-1.605095389,-1.920266931,-1.104072791,0.343478125,0.331523764,-0.8819666,-0.799914905,0.390485658,-1.203881696,1.101269962,-1.625717615,-0.456456689,1.093073895,0.284353908,1.115113167,0.127176874,0.039256217,0.554152055,-0.078072084,-1.398714594,0.018049484,1.607129491,-0.08937443,-0.463644285,0.140929503,0.853185009,-1.076956854,1
-2.163955469,2.422682545,0.314656823,-0.061211678,0.133369433,-0.118839351,0.537129954,3.070741675,0.121827051,-0.785369517,-0.452577206,-2.200444645,-0.1208966,-0.22862469,-0.211168482,0.556196222,-0.59316369,0.841479743,0.272209414,0.564292287,-0.102533172,0.527910792,-1.826840584,-2.942074573,-1.608425311,0.297609543,0.241167637,-1.377461512,-0.524418067,0.244803862,-1.317113653,0.49992635,-1.924279973,-0.37866472,1.093073895,0.388854961,0.843549101,0.004321308,0.232694386,0.446849708,-0.159393922,-1.298110408,-1.759085077,1.265246287,0.452818905,-0.453590694,-0.141184189,0.329371408,0.928542305,1
-1.457413214,0.9275351,0.82310894,0.203863835,0.400412334,0.146038818,-0.177478981,1.550086826,0.172502346,-0.108558856,0.5064821,-0.780574398,0.427647767,-0.09345008,0.919714858,1.429204973,-0.428955644,1.289085028,0.533754457,-0.7423539,0.149791664,0.798460121,-1.247019392,-1.565233091,-0.472506489,0.297595895,0.392937589,-0.409571214,-0.401905828,0.515355768,-1.052987851,1.177926351,-0.926694682,-0.509667131,1.093073895,0.388854961,0.843549101,0.002971955,0.48697159,0.008655418,-0.408686079,-0.554470453,-1.117213151,0.580284017,0.362623299,-0.480151517,-0.035897051,0.067464607,0.928542305,1
-1.514499462,1.612095237,0.735248971,1.487027935,0.881089555,1.194956365,0.015816879,1.767323232,0.400541171,0.883379413,0.179346872,-1.477850048,-0.335365069,-0.582056841,0.211097473,0.070745204,0.610710444,-0.439969003,0.215168343,-0.34764536,1.379931278,-0.708117789,-1.411457783,-1.147516883,-0.735641478,0.603407008,0.455790295,-0.680439867,-0.285102881,0.328050603,-1.128422393,1.080046796,-1.064976224,-0.466085171,1.093073895,0.388854961,0.843549101,0.16826993,0.449521033,-0.344621196,-0.439068641,0.198109297,-0.524834964,-0.159422086,0.272272887,-0.352347563,0.207350102,0.329371408,0.928542305,1
-2.109915272,2.108164519,1.187891436,0.376887827,0.026552273,-0.445390645,-0.053423429,2.88453904,0.299190582,-0.307193407,0.432193838,-1.745731384,-0.265140882,-0.459859554,0.783771416,0.493084745,-0.730706911,1.099112207,1.087846818,3.646503067,0.317129418,0.992458835,-2.22595127,-3.109225592,-1.628678559,0.127966722,0.021315526,-1.412186452,-0.481870057,0.223992177,-1.468172996,1.122862337,-1.907437959,-0.390857038,1.093073895,0.388854961,0.843549101,0.164180866,0.228007026,0.154503357,-0.276942116,-0.824804856,-1.200733836,0.809224849,0.327534804,-0.439125682,0.056352162,0.591278208,-1.076956854,1
-2.1260166,2.604066505,0.389769846,0.89470826,0.400412334,0.499209709,0.537129954,3.13280922,0.50189176,0.009583396,-0.435436489,-2.332402012,0.183768899,-0.509254796,-0.279152996,0.872582968,-0.275881833,0.590333373,0.251410714,-0.682177504,0.814287799,-0.519605661,-1.348465487,-2.059440696,-1.295980629,0.447412979,0.499484019,-1.221103405,-0.012467921,0.244803862,-1.090701864,0.835925311,-1.72326872,-0.38639863,1.093073895,0.388854961,0.843549101,-0.019109741,0.439904696,0.118240021,-0.389189524,-0.744976253,-0.074751277,0.664658613,0.257149342,-0.462653256,-0.324076987,0.067464607,-1.076956854,1
-2.093085878,2.330331058,-0.163146245,0.263470864,0.186778014,-0.080095977,-0.861227021,2.341448023,-0.080874127,-0.471668392,-0.85656,-2.237413995,-0.335365069,-0.09345008,-0.834704436,-0.463499148,-0.99167532,0.504617452,-0.998963368,-0.840636027,0.208363917,-0.495743173,-2.380124064,-2.109850067,-1.227082256,0.332189014,0.178998684,-1.04938777,-0.532060942,0.307238917,-1.505953469,0.972272521,-1.602467517,-0.401257228,1.093073895,0.493356013,0.843549101,0.29882429,-0.078507665,0.577775984,0.11901378,-1.193728843,-0.679502898,1.533650513,0.181445236,-0.410222626,-1.012125524,0.329371408,0.928542305,1
-2.576954986,2.465864524,0.486770139,-0.313103452,0.240186594,0.309932185,-0.129155016,2.512133771,0.375203524,-1.019463877,-0.311066014,-2.229823337,-0.538835159,-0.629751837,-0.333161677,0.215152016,-0.838325068,1.065865562,-0.373398167,-0.478094763,-0.343196498,1.1392289,-1.580168838,-1.984778734,-1.517619093,0.494796735,0.313919618,-1.394096433,-0.084273762,0.223992177,-1.203881696,0.715815469,-1.91773829,-0.377340794,1.093073895,0.493356013,0.843549101,0.293929887,0.116235233,0.45110403,-0.006472667,-1.156206881,-0.258806118,1.231230702,0.169227178,-0.403584304,0.425333845,1.376998609,-1.076956854,1
